Scheme,NAV
Open Ended Schemes (Debt Scheme - Banking and PSU Fund),
Aditya Birla Sun Life Mutual Fund,
Aditya Birla Sun Life Banking & PSU Debt Fund- DIRECT - IDCW,131.858
Aditya Birla Sun Life Banking & PSU Debt Fund- DIRECT - MONTHLY IDCW,114.9312
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct - Quarterly IDCW,112.7667
Aditya Birla Sun Life Banking & PSU Debt Fund- REGULAR - IDCW,164.8511
Aditya Birla Sun Life Banking & PSU Debt Fund- REGULAR - MONTHLY IDCW,112.209
Aditya Birla Sun Life Banking & PSU Debt Fund- REGULAR - Quarterly IDCW,110.207
Aditya Birla Sun Life Banking & PSU Debt Fund- retail - monthly IDCW,112.0661
Aditya Birla Sun Life Banking & PSU Debt Fund- retail - quarterly IDCW,113.0101
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,292.9646
Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,439.777
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,300.3261
Axis Mutual Fund,
Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,1532.8272
Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,1039.131
Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,2157.972
Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,1035.4787
Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,1038.2027
Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option,1289.4075
Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW,1039.1303
Axis Banking & PSU Debt Fund - Regular Plan - Growth option,2114.417
Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,1035.2398
Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW,1038.2003
Baroda Mutual Fund,
Baroda Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option,10.3721
Baroda Banking and PSU Bond Fund- Direct Plan -Growth Option,10.3721
Baroda Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option,10.1497
Baroda Banking and PSU Bond Fund-Regular Plan -Growth Option,10.3314
Baroda Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option,10.3314
Baroda Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option,10.1192
DSP Mutual Fund,
DSP Banking & PSU Debt Fund - Direct Plan - Growth,19.748
DSP Banking & PSU Debt Fund - Direct Plan - IDCW,10.5348
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest,10.16
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly,10.2096
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly,10.1904
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly,10.1655
DSP Banking & PSU Debt Fund - Regular Plan - Growth,19.2524
DSP Banking & PSU Debt Fund - Regular Plan - IDCW,10.5169
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest,10.16
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly,10.2039
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly,10.1859
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly,10.1652
Edelweiss Mutual Fund,
Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,20.3338
Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option,18.87
Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option,15.2672
Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option,11.3009
Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option,10.5725
Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option,19.8492
Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option,18.3882
Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option,14.8894
Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option,11.3018
Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option,10.3285
Franklin Templeton Mutual Fund,
Franklin India Banking & PSU Debt Fund - Direct - Growth,18.6144
Franklin India Banking & PSU Debt Fund - Growth,18.0346
Franklin India Banking and PSU Debt Fund - Direct - IDCW,10.9703
Franklin India Banking and PSU Debt Fund - IDCW,10.5277
HDFC Mutual Fund,
HDFC Banking and PSU Debt Fund - Growth Option,18.4556
HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan,18.9374
HDFC Banking and PSU Debt Fund - IDCW Option,10.1486
HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan,10.0393
ICICI Prudential Mutual Fund,
ICICI Prudential Banking and PSU Debt Fund -Daily IDCW,10.09
ICICI Prudential Banking and PSU Debt Fund -Weekly IDCW,10.267
ICICI Prudential Banking and PSU Debt Fund - Bonus,15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -Daily IDCW,10.4629
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -Growth,26.7123
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -Quarterly IDCW,12.5663
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -Weekly IDCW,10.3958
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus,13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option,13.201
ICICI Prudential Banking and PSU Debt Fund - Growth,25.9743
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW,10.6553
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option,13.0082
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend,10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth,21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend,10.3305
IDFC Mutual Fund,
IDFC-IDFC Banking & PSU Debt Fund - Direct Annual IDCW,12.2432
IDFC-IDFC Banking & PSU Debt Fund - Direct Daily IDCW,10.4768
IDFC-IDFC Banking & PSU Debt Fund - Direct Fortnightly IDCW,10.4641
IDFC-IDFC Banking & PSU Debt Fund - Direct Growth,20.1332
IDFC-IDFC Banking & PSU Debt Fund - Direct IDCW,10.5912
IDFC-IDFC Banking & PSU Debt Fund - Direct Monthly IDCW,10.4583
IDFC-IDFC Banking & PSU Debt Fund - Direct Quarterly IDCW,10.665
IDFC-IDFC Banking & PSU Debt Fund - Regular Annual IDCW,11.256
IDFC-IDFC Banking & PSU Debt Fund - Regular Daily IDCW,10.8788
IDFC-IDFC Banking & PSU Debt Fund - Regular Fortnightly IDCW,10.6189
IDFC-IDFC Banking & PSU Debt Fund - Regular Growth,19.7773
IDFC-IDFC Banking & PSU Debt Fund - Regular IDCW,10.6795
IDFC-IDFC Banking & PSU Debt Fund - Regular Monthly IDCW,10.7008
IDFC-IDFC Banking & PSU Debt Fund - Regular Quarterly IDCW,10.5779
Invesco Mutual Fund,
Invesco India Banking & PSU Debt Fund - Daily IDCW (Reinvestment),1003.72
Invesco India Banking & PSU Debt Fund - Direct Plan -Growth Option,1971.7784
Invesco India Banking & PSU Debt Fund - Direct Plan - Daily IDCW (Reinvestment),1022.5638
Invesco India Banking & PSU Debt Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),1014.9596
Invesco India Banking & PSU Debt Fund - Growth Option,1866.1991
Invesco India Banking & PSU Debt Fund - Monthly IDCW (Payout / Reinvestment),1023.7774
ITI Mutual Fund,
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option,10.5245
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option,10.5245
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option,10.4618
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option,10.4618
Kotak Mahindra Mutual Fund,
Kotak Banking and PSU Debt - Annual Dividend,16.1842
Kotak Banking and PSU Debt - Daily Dividend Reinvestment,10.188
Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment,10.2604
Kotak Banking and PSU Debt - Growth,52.2471
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option,10.4523
Kotak Banking and PSU Debt Direct - Annual Dividend,17.1427
Kotak Banking and PSU Debt Direct - Growth,53.6415
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option,10.3689
L&T Mutual Fund,
L&T Banking and PSU Debt Fund -Direct Plan - Monthly IDCW,11.7216
L&T Banking and PSU Debt Fund -Regular Plan - Monthly IDCW,11.2685
L&T Banking and PSU Debt Fund - Direct Plan - Daily IDCW,11.1907
L&T Banking and PSU Debt Fund - Direct Plan - Growth,20.7414
L&T Banking and PSU Debt Fund - Direct Plan - Weekly IDCW,10.8401
L&T Banking and PSU Debt Fund - Regular Plan - Daily IDCW,11.116
L&T Banking and PSU Debt Fund - Regular Plan - Growth,19.9625
L&T Banking and PSU Debt Fund - Regular Plan - Weekly IDCW,10.8259
LIC Mutual Fund,
LIC MF Banking & PSU Debt Fund-Direct Plan-Daily IDCW,12.0108
LIC MF Banking & PSU Debt Fund-Direct Plan-Growth,29.6842
LIC MF Banking & PSU Debt Fund-Direct Plan-Monthly IDCW,11.1795
LIC MF Banking & PSU Debt Fund-Direct Plan-Weekly IDCW,10.0564
LIC MF Banking & PSU Debt Fund-Regular Plan-Daily IDCW,10.8012
LIC MF Banking & PSU Debt Fund-Regular Plan-Growth,28.0476
LIC MF Banking & PSU Debt Fund-Regular Plan-Monthly IDCW,10.5371
LIC MF Banking & PSU Debt Fund-Regular Plan-Weekly IDCW,10.055
Mirae Asset Mutual Fund,
Mirae Asset Banking and PSU Debt Fund Direct Growth,10.5757
Mirae Asset Banking and PSU Debt Fund Direct IDCW,10.5756
Mirae Asset Banking and PSU Debt Fund Regular Growth Plan,10.5127
Mirae Asset Banking and PSU Debt Fund Regular IDCW,10.513
Nippon India Mutual Fund,
Nippon India Banking& PSU Debt Fund- Direct Plan-Growth Plan- Bonus Option,17.0305
Nippon India Banking& PSU Debt Fund- Direct Plan-Growth Plan- Growth Option,17.0303
Nippon India Banking& PSU Debt Fund- Growth Plan- Bonus Option,12.3452
Nippon India Banking& PSU Debt Fund- Growth Plan- Growth Option,16.6627
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - IDCW Option,17.0303
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - MONTHLY IDCW Option,10.6724
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - QUARTERLY IDCW Option,10.6359
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - WEEKLY IDCW Option,10.299
NIPPON INDIA BANKING & PSU DEBT FUND - IDCW Option,16.6627
NIPPON INDIA BANKING & PSU DEBT FUND - MONTHLY IDCW Option,10.6085
NIPPON INDIA BANKING & PSU DEBT FUND - QUARTERLY IDCW Option,10.6025
NIPPON INDIA BANKING & PSU DEBT FUND - WEEKLY IDCW Option,10.2993
PGIM India Mutual Fund,
PGIM India Banking and PSU Debt fund - Bonus,13.3974
PGIM India Banking and PSU Debt Fund - Direct Plan - Regular Dividend,10.4542
PGIM India Banking and PSU Debt fund - Monthly Dividend,10.7742
PGIM India Banking and PSU Debt fund - Quarterly Bonus,11.6111
PGIM India Banking and PSU Debt fund - Quarterly Dividend,10.867
PGIM India Banking and PSU Debt Fund - Regular Dividend,10.4729
PGIM India Banking and PSU Debt fund - Weekly Dividend,10.2735
PGIM India Banking and PSU Debt fund -Growth,19.6341
PGIM India Banking and PSU Debt fund- Direct Plan-Quarterly Bonus,13.6246
PGIM India Banking and PSU Debt fund- Direct Plan-Regular Bonus,15.2364
PGIM India Banking and PSU Debt fund- Direct Plan- Annual Dividend,11.0995
PGIM India Banking and PSU Debt fund- Direct Plan- Monthly Dividend,10.9284
PGIM India Banking and PSU Debt fund- Direct Plan- Quarterly Dividend,10.8841
PGIM India Banking and PSU Debt fund- Direct Plan- Weekly Dividend,10.2259
PGIM India Banking and PSU Debt fund- Direct Plan-Growth,20.4701
SBI Mutual Fund,
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1161.3406
SBI BANKING & PSU FUND - Direct Plan - Growth,2636.5762
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),1176.4054
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1158.7619
SBI BANKING & PSU FUND - Regular Paln - Growth,2522.5019
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1150.8088
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),1129.4156
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1150.5943
Sundaram Mutual Fund,
Sundaram Banking & PSU Debt Fund - Direct Growth,11.7065
Sundaram Banking & PSU Debt Fund - Direct Monthly Dividend,11.4008
Sundaram Banking & PSU Debt Fund - Direct Quarterly Dividend,10.6356
Sundaram Banking & PSU Debt Fund - Regular Annual Bonus,11.6319
Sundaram Banking & PSU Debt Fund - Regular Growth,11.6493
Sundaram Banking & PSU Debt Fund - Regular Monthly Dividend,11.1411
Sundaram Banking & PSU Debt Fund - Regular Quarterly Bonus,11.1681
Sundaram Banking & PSU Debt Fund - Regular Weekly Dividend,10.1418
Sundaram Banking & PSU Debt Fund Regular Quarterly Dividend,11.0236
Sundaram Banking and PSU Debt Fund Direct Plan - Bonus,17.4559
Sundaram Banking and PSU Debt Fund Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),10.23
Sundaram Banking and PSU Debt Fund Direct Plan - Growth,34.8854
Sundaram Banking and PSU Debt Fund Direct Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),11.5134
Sundaram Banking and PSU Debt Fund Regular Plan - Bonus,17.4327
Sundaram Banking and PSU Debt Fund Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),10.355
Sundaram Banking and PSU Debt Fund Regular Plan - Growth,34.57
Sundaram Banking and PSU Debt Fund Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),11.5661
Sundaram Banking and PSU Debt Fund Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),12.0988
Sundaram Banking and PSU Debt Fund Retail Plan - Growth,31.164
Sundaram Banking and PSU Debt Fund Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),11.4711
SundaramBanking&PSUDebtFund-RegularDailyDividendReinvestment,11.6582
Tata Mutual Fund,
Tata Banking & PSU Debt FundDirect Plan - Payout of Income Distribution cum capital withdrawal option,11.7291
Tata Banking & PSU Debt FundDirect Plan - Reinvestment of Income Distribution cum capital withdrawal option,11.7291
Tata Banking & PSU Debt Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option,11.6026
Tata Banking & PSU Debt Fund Regular Plan - Reinvestment of Income Distribution cum capital withdrawal option,11.6026
Tata Banking & PSU Debt Fund-Direct Plan-Growth,11.7291
Tata Banking & PSU Debt Fund-Regular Plan-Growth,11.6026
Trust Mutual Fund,
TRUSTMF BANKING & PSU DEBT FUND - DIRECT GROWTH,1042.7334
TRUSTMF BANKING & PSU DEBT FUND - REGULAR GROWTH,1038.5169
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION,1042.7406
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1045.41
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION,1022.8459
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1033.7056
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1019.9958
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1038.5316
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1038.8008
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1019.0467
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1029.4142
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1018.7208
UTI Mutual Fund,
UTI Banking & PSU Debt Fund - Direct Plan - Annual IDCW,11.2572
UTI Banking & PSU Debt Fund - Direct Plan - Flexi IDCW,14.3409
UTI Banking & PSU Debt Fund - Direct Plan - Growth Option,16.6419
UTI Banking & PSU Debt Fund - Direct Plan - Half-Yearly IDCW,11.0432
UTI Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,11.9053
UTI Banking & PSU Debt Fund - Direct Plan - Quarterly IDCW,12.5077
UTI Banking & PSU Debt Fund - Regular Plan - Annual IDCW,11.1758
UTI Banking & PSU Debt Fund - Regular Plan - Flexi IDCW,11.076
UTI Banking & PSU Debt Fund - Regular Plan - Half-Yearly IDCW,11.0297
UTI Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,11.8407
UTI Banking & PSU Debt Fund - Regular Plan - Quarterly IDCW,11.4561
