Fund Name,Category,NAV,NAV DATE,AUM (In crs),Return (%) 1W,Return (%) 1M,Return (%) 3M,Return (%) 6M,Return (%) 1Y,Return (%) 3Y,Return (%) 5Y,Return (%) SI
Tata Medium Term Fund (Segregated Portfolio 1),Debt-Income,,21-11-2021,2.09,-1.24,-0.81,182.1,182.1,183.71,--,--,24.08
Tata Treasury Advantage Fund (Segregated Portfolio 1),Debt-Ultra Short Term,,21-11-2021,14.73,-1.24,-0.81,150.07,150.07,151.33,--,--,24.08
Tata Corporate Bond Fund (Segregated Portfolio 1),Debt-Ultra Short Term,,21-11-2021,11.82,-1.24,-0.81,112.67,112.67,113.56,--,--,24.07
SBI Magnum Childrens Benefit Fund - Investment Plan,Speciality-Child Care,,21-11-2021,322.06,-2.35,2.48,19.34,47.45,110.03,--,--,108.54
Quant Small Cap Fund,Equity-Diversified,,21-11-2021,1241.37,-2.97,-0.55,14.47,26.73,109.85,36.58,22.29,11.42
Quant Infrastructure Fund,Equity-Sector,,21-11-2021,147.21,-1.75,3.06,23.57,30.47,109.83,37.34,26.84,5.4
Sundaram Long Term Micro Cap Tax Advantage Fund - Series VI,Equity-Tax Planning,,21-11-2021,41.16,-2.5,2.06,14.47,37.61,107.57,22.95,--,10.39
Sundaram Long Term Micro Cap Tax Advantage Fund - Series V,Equity-Tax Planning,,21-11-2021,39.79,-2.25,1.84,13.93,33.46,103.25,23.23,--,11.34
Sundaram Select Micro Cap - Series XVII,Equity-Diversified,,21-11-2021,116.01,-2.67,2.63,16.42,35.36,101.98,23.89,--,10.14
Sundaram Select Micro Cap - Series XVI,Equity-Diversified,,21-11-2021,137.63,-2.33,2.72,16.93,35.2,100.64,24.26,--,11.27
Sundaram Long Term Micro Cap Tax Advantage Fund - Series IV,Equity-Tax Planning,,21-11-2021,41.54,-2.43,2.78,14.74,33.92,99.17,22.82,--,10.86
Sundaram Select Micro Cap - Series XV,Equity-Diversified,,21-11-2021,206.15,-2.34,3.52,17.66,35.26,97.38,22.65,--,11.23
Sundaram Long Term Micro Cap Tax Advantage Fund - Series III,Equity-Tax Planning,,21-11-2021,81.32,-2.47,2.27,14.27,33.63,97.28,22.15,--,13.33
Sundaram Select Micro Cap - Series XIV,Equity-Diversified,,21-11-2021,214.84,-2.27,2.89,16.97,34.16,97.15,24.01,--,11.96
Sundaram Long Term Tax Advantage Fund - Series III,Equity-Tax Planning,,21-11-2021,41.43,-2.35,3.72,15.29,34.22,96.53,23.01,--,12.73
Sundaram emerging Small Cap - Series III,Equity-Diversified,,21-11-2021,265.92,-2.26,4.23,16.24,33.64,94.7,25.87,--,17.63
Sundaram Long Term Tax Advantage Fund - Series IV,Equity-Tax Planning,,21-11-2021,27.8,-2.41,4.01,16.21,33.66,94.68,23.05,--,18.98
ICICI Prudential Commodities Fund,Equity-Sector,,21-11-2021,720.53,-4.93,-5.49,2.79,11.93,94.31,--,--,51.64
Sundaram emerging Small Cap - Series I,Equity-Diversified,,21-11-2021,277.55,-2.36,4.44,17.21,34.37,93.61,24.86,--,12.86
Sundaram emerging Small Cap - Series V,Equity-Diversified,,21-11-2021,71.74,-2.36,3.75,15.22,33.31,93.51,24.87,--,20.65
Kotak Small Cap Fund,Equity-Diversified,,21-11-2021,6180.02,-0.11,3.66,16.01,31.44,92.52,36.11,24.35,18.45
ICICI Prudential Technology Fund,Equity-Sector,,21-11-2021,6886.59,-0.1,1.54,11.69,45.42,92.39,44.93,35.40,13.78
Sundaram emerging Small Cap - Series IV,Equity-Diversified,,21-11-2021,189.48,-2.29,4,15.76,33.05,92.37,25.57,--,19.02
Sundaram emerging Small Cap - Series VI,Equity-Diversified,,21-11-2021,37.11,-2.13,4.12,15.22,31.93,91.82,27.32,--,25.81
Tata Digital India Fund,Equity-Sector,,21-11-2021,3842.31,-0.84,0.54,12.15,43.72,91.3,42.26,35.13,25.75
Nippon India ETF PSU Bank BeES,ETF-Others,,21-11-2021,387.55,-3.44,-0.9,24.92,19.82,91.19,-2.27,-2.62,1.2
Kotak PSU Bank ETF,ETF-Others,,21-11-2021,194.62,-3.44,-0.9,24.79,19.67,90.76,-2.47,-2.73,0.46
Sundaram emerging Small Cap - Series II,Equity-Diversified,,21-11-2021,297.97,-2.26,4.07,16.68,32.49,90.08,24.56,--,13.62
Principal Small Cap Fund,Equity-Diversified,,21-11-2021,490.89,-0.77,3.61,19.6,33.32,90.04,--,--,42.54
L&T Emerging Businesses Fund,Equity-Diversified,,21-11-2021,7554.14,-1.74,2.79,15.22,31.23,88.68,22.66,21.81,22.09
Nippon India Small Cap Fund,Equity-Diversified,,21-11-2021,17197.2,-0.94,2.94,13.34,27.99,87.96,28.89,25.12,21.03
Quant Consumption Fund,Equity-Sector,,21-11-2021,37.75,-0.95,2.06,11.64,25.11,87.59,32.93,25.05,14.52
ICICI Prudential Smallcap Fund.,Equity-Global Funds,,21-11-2021,3304.22,-2.12,2.13,13.92,31.02,87.04,31.32,20.31,12.44
IDFC Infrastructure Fund,Equity-Sector,,21-11-2021,663.06,-3.93,1.77,9.24,25.7,86.91,19.36,16.38,8.81
Quant Tax Plan,Equity-Tax Planning,,21-11-2021,487.12,-2.2,0.48,14.83,21.48,85.81,35.40,26.61,15.45
Canara Robeco Small Cap Fund,Equity-Diversified,,21-11-2021,1697.01,-2.23,0.89,16.61,29.7,85.28,--,--,34.71
Quant ESG Equity Fund,Equity-Diversified,,21-11-2021,27.96,-0.25,3.71,14.46,28.27,85.18,--,--,86.32
Tata Small Cap Fund,Equity-Diversified,,21-11-2021,1721.24,-1.6,2.73,10.58,28.12,85.17,30.22,--,29.94
SBI Long Term Advantage Fund - Series IV,Equity-Tax Planning,,21-11-2021,198.16,-2.16,-1.54,12.78,33.57,82.17,35.67,--,27.13
BOI AXA Small Cap Fund,Equity-Diversified,,21-11-2021,193.62,-0.56,2.83,14.08,28.22,81.53,--,--,39.64
PGIM India Midcap Opportunities Fund,Equity-Diversified,,21-11-2021,3388.27,-1.99,1.61,12.82,29.44,80.69,36.57,24.03,20.53
Quant Active Fund,Equity-Diversified,,21-11-2021,1304.41,-1.45,-0.02,14.25,20.29,80.65,33.76,27.35,19.87
IDBI Small Cap Fund,Equity-Diversified,,21-11-2021,129.69,-0.91,3.38,17.22,26.76,80.65,23.65,--,13.41
Invesco India Smallcap Fund,Equity-Diversified,,21-11-2021,1226.92,-1.83,0.89,10.77,27.22,80.5,28.70,--,28.48
HDFC Small Cap Fund,Equity-Diversified,,21-11-2021,13182.11,-1.59,-0.29,9.84,24.61,80.44,21.05,21.52,15.83
Edelweiss Small Cap Fund,Equity-Diversified,,21-11-2021,1057.3,-1.39,2.25,13.43,24.12,80.4,--,--,37.62
Aditya Birla Sun Life Digital India Fund,Equity-Sector,,21-11-2021,2658.13,-1.07,0.09,9.02,36.74,79.97,42.06,33.97,12.78
HSBC Infrastructure Equity Fund,Equity-Diversified,,21-11-2021,110.02,-2.85,1.43,12.97,24.21,79.75,14.74,9.85,6.27
Sundaram Small Cap Fund,Equity-Diversified,,21-11-2021,1540.84,-1.41,0.81,12.9,25.67,79.74,24.86,16.66,17.58
SBI Technology Opportunities Fund,Equity-Sector,,21-11-2021,1890.6,-0.47,2.91,10.04,40.26,79.7,39.18,30.72,16.4
Sundaram Value Fund - Series 7,Equity-Diversified,,21-11-2021,42.42,0.03,0.08,9.45,16.18,79.01,20.67,--,8.96
Quant Mid Cap Fund,Balanced,,21-11-2021,205.24,-0.07,2.83,15.4,20.98,78.84,29.17,22.57,12.77
HSBC Small Cap Equity Fund,Equity-Diversified,,21-11-2021,335.29,-1.12,0.58,14.52,31.88,78.82,23.51,18.23,14.25
Nippon India Nifty Smallcap 250 Index Fund,Equity-Index,,21-11-2021,231.19,-1.62,0.59,12.84,22.58,78.44,--,--,80.07
Motilal Oswal Nifty Smallcap 250 Index Fund,Equity-Index,,21-11-2021,222.84,-1.64,0.57,12.58,22.36,78.4,--,--,40.23
ICICI Prudential Infrastructure Fund,Equity-Sector,,21-11-2021,1446.95,-3.04,-2.09,14.5,22.26,78.12,19.06,15.82,13.79
Union Small Cap Fund,Equity-Diversified,,21-11-2021,555.44,-0.85,1.71,10.44,25.87,77.25,29.47,20.42,15.47
Edelweiss Recently Listed IPO Fund,Equity-Sector,,21-11-2021,904.26,-0.25,2.48,16.82,35.98,76.96,35.95,--,22.1
Kotak Infrastructure & Economic Reform Fund,Equity-Sector,,21-11-2021,462.33,-2.36,1.04,13.15,29.34,76.66,21.17,15.45,9.08
ICICI Prudential India Opportunities Fund,Equity-Diversified,,21-11-2021,4182.94,-2.78,-3.1,15.06,20.52,76.61,--,--,21.75
Franklin India Smaller Companies Fund,Equity-Diversified,,21-11-2021,7229.32,-2.13,2.48,15.34,28.82,76.5,21.64,16.70,15.11
IDFC Sterling Value Fund,Equity-Diversified,,21-11-2021,4206.75,-2.56,0.7,11.21,21.74,76.14,20.48,19.85,17.12
Sundaram emerging Small Cap - Series VII,Equity-Diversified,,21-11-2021,127.41,-2.29,3.1,12.29,26.2,74.38,26.35,--,25.38
SBI Magnum Midcap Fund,Equity-Diversified,,21-11-2021,6425.59,-1.57,4.53,16.33,26.32,73.57,26.98,17.22,17.29
L&T Infrastructure Fund,Equity-Sector,,21-11-2021,1356.28,-3.48,2.31,17.54,27.76,73.5,15.29,16.78,6.5
Canara Robeco Infrastructure Fund,Equity-Sector,,21-11-2021,171.37,-2.97,3.22,14.04,26.16,72.6,20.93,15.14,13.53
Invesco India Infrastructure Fund,Equity-Sector,,21-11-2021,333.69,-2.05,2.47,15.54,27.32,72.21,25.85,19.93,8.65
SBI Contra Fund,Equity-Diversified,,21-11-2021,3106.42,-2.26,1.31,15.13,22.81,71.29,25.20,18.15,19.23
SBI ETF IT,ETF-Others,,21-11-2021,855.45,-0.9,0.6,8.55,39.68,71.28,--,--,64.86
Nippon India ETF Nifty IT,ETF-Others,,21-11-2021,881.4,-0.9,0.6,8.54,39.64,71.1,--,--,89.99
ICICI Prudential IT ETF,ETF-Others,,21-11-2021,2436.5,-0.9,0.6,8.53,39.65,70.86,--,--,74.5
Tata Infrastructure Fund,Equity-Sector,,21-11-2021,757.74,-2.24,1.87,13.66,24.77,70.7,21.51,16.42,14.07
DSP India Tiger Fund,Equity-Diversified,,21-11-2021,1301.52,-2.13,1.61,10.7,24.44,70.63,20.27,15.98,16.65
DSP Small Cap Fund,Equity-Diversified,,21-11-2021,8269.57,-1.54,1.38,11.93,24.67,70.3,27.41,18.32,18.06
Aditya Birla Sun Life Infrastructure Fund,Equity-Sector,,21-11-2021,557.41,-4.29,-1.39,10.74,17.73,70.25,17.82,14.67,10.78
HDFC Infrastructure Fund,Equity-Sector,,21-11-2021,604.07,-3.8,-2.7,11.34,19.66,70.15,9.23,6.03,5.41
Sundaram Infrastructure Advantage Fund,Equity-Sector,,21-11-2021,646.2,-3.25,2.76,15.76,23.3,69.61,20.76,16.50,10.83
Aditya Birla Sun Life Mid Cap Fund,Equity-Diversified,,21-11-2021,3381.81,-2.05,2.17,13.71,30.47,69.4,20.11,15.77,22.46
Franklin Build India Fund,Equity-Sector,,21-11-2021,1132.07,-2.25,1.26,15.86,24.88,69.15,20.03,16.87,16.83
IDFC Emerging Businesses Fund,Equity-Diversified,,21-11-2021,1433.49,-1.75,-1.45,5.14,25.57,68.82,--,--,59.69
Nippon India Capital Builder Fund IV - Series B,Equity-Diversified,,21-11-2021,48.96,-2.13,2.83,13.29,35.59,68.81,17.67,--,6.61
Aditya Birla Sun Life Small Cap Fund,Equity-Diversified,,21-11-2021,2969.16,-1.74,-1.18,9.97,19.4,68.79,18.34,14.65,12.58
Union Midcap Fund,Equity-Diversified,,21-11-2021,337.9,-1.14,1.75,12.5,30.81,68.6,--,--,88.23
Nippon India Power & Infra Fund,Equity-Sector,,21-11-2021,1678.63,-2.57,1.16,15.07,24.51,67.62,18.68,16.83,17.15
Nippon India Multi Cap Fund,Equity-Diversified,,21-11-2021,10969.56,-2.4,1.1,15.31,27.64,67.38,17.51,17.02,17.67
Axis Small Cap Fund,Equity-Diversified,,21-11-2021,7362.16,-0.37,3.15,13.03,25.54,67.37,33.32,24.04,25.51
Nippon India Growth Fund,Equity-Diversified,,21-11-2021,11919.02,-1.95,1.13,12.94,28.07,67.05,26.94,21.07,22.75
Mahindra Manulife Multi Cap Badhat Yojana,Equity-Diversified,,21-11-2021,853.87,-2.18,-0.01,13.38,26.06,67.04,28.59,--,18.03
Mirae Asset Midcap Fund,Equity-Diversified,,21-11-2021,6736.74,-2.19,0.58,10.9,22.47,67.02,--,--,38.81
Templeton India Value Fund,Equity-Diversified,,21-11-2021,620.67,-2.11,-0.67,14.16,24.12,66.85,19.82,16.14,16.43
ICICI Prudential Thematic Advantage Fund (FOF),Fund of Funds-Domestic,,21-11-2021,95.69,-1.41,-0.77,10.48,18.73,66.72,23.60,17.97,15.44
Sundaram Services Fund,Equity-Sector,,21-11-2021,1923.19,-1.17,1.45,14.61,32.73,66.49,29.32,--,28.05
ICICI Prudential Dividend Yield Equity Fund,Equity-Diversified,,21-11-2021,530.44,-2.46,-2.64,10.91,23.57,66.17,18.35,15.46,13.86
Motilal Oswal Midcap 30 Fund,Equity-Diversified,,21-11-2021,2419.25,-1.73,5.03,20.11,34.87,66.12,24.85,17.04,21.58
Motilal Oswal Midcap 100 ETF,ETF-Others,,21-11-2021,82.56,-2,-0.15,15.55,23.8,66.1,22.00,17.78,14.09
Baroda Mid cap Fund,Equity-Diversified,,21-11-2021,84.71,-1.49,0.85,18.5,32.12,65.98,28.12,20.18,5.32
SBI Consumption Opportunities Fund,Equity-Sector,,21-11-2021,839.33,-1.24,5.89,19.01,25.57,65.67,18.57,19.98,15.56
Mahindra Manulife Mid Cap Unnati Yojana,Equity-Diversified,,21-11-2021,844.56,-2.33,-0.57,11.06,20.13,65.48,25.15,--,15.99
Edelweiss Mid Cap Fund,Equity-Diversified,,21-11-2021,1749.56,-1.5,0.05,11.94,22.53,65.14,27.44,21.60,12.54
CPSE ETF,ETF-Others,,21-11-2021,15950.09,-1.45,-4.59,19.17,18.4,65.03,6.10,4.12,7.24
